IcomparisonTask2															
6/29/15	10:11:06 AM														
															
Participant	Participant	Session	Block	Trial	Event	Participant		Pressed Or		Pressed Or	Correct	Error	Reaction		
Group	Name	ID	Name	Name	Name	Response	Key	Released	Key	Released	Response	Code	Time	Trial Answered	compatibility
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 37"	"numberRL (37, 66)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	688		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 9"	"numberRL (9, 21)"	Button 7			7	Pressed	right; Button 7	C	528		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 43"	"numberRL (43, 73)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1016		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 31"	"numberRL (31, 48)"	Button 7			7	Pressed	right; Button 7	C	619		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 52"	"numberRL (52, 84)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	622		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 17"	"numberRL (17, 31)"	Button 7			7	Pressed	right; Button 7	C	515		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 23"	"numberRL (23, 38)"	Button 7			7	Pressed	right; Button 7	C	638		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 44"	"numberRL (44, 74)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	719		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 28"	"numberRL (28, 44)"	Button 7			7	Pressed	right; Button 7	C	594		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 26"	"numberRL (26, 42)"	Button 7			7	Pressed	right; Button 7	C	628		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 41"	"numberRL (41, 71)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	665		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 59"	"numberRL (59, 93)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	766		incompatible
